iter	Passed	Remaining
0	0	96
1	2	98
2	3	99
3	3	94
4	5	96
5	6	103
6	7	101
7	8	99
8	9	93
9	9	89
10	10	85
11	11	83
12	12	80
13	12	79
14	13	78
15	14	76
16	15	74
17	15	72
18	16	70
19	17	68
20	17	66
21	18	64
22	19	63
23	19	62
24	20	60
25	21	60
26	22	60
27	23	59
28	23	58
29	24	57
30	25	55
31	25	54
32	26	54
33	27	53
34	28	53
35	29	53
36	30	52
37	31	51
38	31	49
39	32	48
40	33	47
41	33	46
42	35	46
43	35	45
44	36	44
45	37	43
46	38	42
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	37
54	44	36
55	45	35
56	45	34
57	46	34
58	48	33
59	49	33
60	50	32
61	51	31
62	54	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	85	0
99	86	0
