iter	Passed	Remaining
0	0	734
1	1	853
2	2	791
3	2	727
4	3	696
5	4	702
6	4	684
7	5	697
8	7	784
9	7	760
10	8	734
11	8	717
12	9	730
13	10	748
14	11	769
15	12	795
16	13	787
17	14	778
18	14	770
19	15	762
20	16	755
21	17	774
22	18	787
23	19	779
24	20	790
25	21	788
26	21	786
27	22	783
28	23	776
29	23	773
30	24	768
31	25	764
32	25	760
33	26	755
34	27	759
35	28	759
36	29	757
37	29	754
38	30	750
39	31	747
40	32	748
41	33	753
42	33	753
43	34	750
44	35	758
45	36	760
46	37	760
47	38	760
48	39	761
49	40	762
50	41	765
51	41	765
52	43	772
53	44	772
54	44	772
55	45	772
56	46	771
57	47	767
58	47	765
59	48	767
60	49	763
61	50	764
62	51	761
63	51	760
64	52	756
65	53	760
66	54	762
67	55	759
68	56	763
69	57	760
70	58	764
71	59	766
72	60	767
73	61	764
74	62	766
75	62	764
76	63	761
77	64	758
78	65	759
79	66	759
80	66	756
81	67	758
82	68	756
83	69	753
84	69	751
85	70	748
86	71	745
87	72	747
88	73	749
89	74	748
90	74	745
91	75	744
92	76	744
93	77	743
94	77	739
95	78	736
96	78	733
97	79	729
98	79	727
99	80	724
100	81	721
101	81	718
102	82	715
103	83	715
104	83	715
105	84	715
106	85	712
107	86	711
108	86	707
109	87	704
110	87	700
111	87	697
112	88	693
113	89	694
114	90	694
115	91	694
116	92	694
117	92	694
118	93	694
119	94	692
120	95	691
121	95	688
122	96	686
123	96	685
124	97	684
125	98	681
126	99	681
127	99	680
128	100	679
129	101	677
130	103	688
131	104	686
132	104	684
133	105	683
134	106	681
135	107	680
136	107	678
137	108	677
138	109	677
139	110	677
140	110	675
141	111	674
142	112	673
143	113	673
144	114	672
145	114	670
146	115	670
147	116	669
148	116	667
149	117	666
150	118	665
151	119	664
152	119	663
153	120	661
154	120	659
155	121	656
156	122	655
157	123	660
158	124	658
159	124	656
160	125	652
161	127	661
162	131	673
163	132	676
164	133	675
165	133	673
166	134	672
167	135	670
168	135	668
169	136	666
170	137	664
171	137	662
172	138	661
173	139	659
174	139	657
175	140	655
176	140	653
177	141	651
178	141	650
179	142	648
180	142	645
181	143	644
182	143	642
183	144	641
184	145	641
185	146	640
186	147	640
187	147	638
188	148	637
189	148	634
190	150	636
191	150	634
192	151	632
193	151	630
194	152	628
195	152	626
196	153	624
197	153	623
198	156	628
199	156	626
200	157	624
201	157	622
202	158	620
203	158	618
204	158	616
205	159	614
206	160	613
207	160	611
208	161	611
209	162	610
210	163	609
211	163	609
212	164	608
213	165	608
214	166	607
215	166	606
216	167	605
217	168	603
218	168	602
219	169	600
220	169	598
221	170	597
222	170	595
223	171	593
224	172	592
225	172	592
226	173	591
227	174	591
228	175	590
229	176	590
230	177	591
231	178	590
232	179	589
233	179	588
234	180	586
235	180	585
236	181	583
237	181	582
238	182	581
239	183	579
240	183	577
241	184	577
242	185	578
243	186	576
244	186	575
245	187	574
246	187	572
247	188	571
248	188	569
249	189	567
250	189	566
251	190	565
252	191	564
253	192	564
254	192	562
255	193	562
256	194	562
257	194	560
258	195	560
259	196	559
260	197	559
261	198	558
262	198	556
263	199	555
264	200	554
265	200	553
266	201	552
267	203	555
268	204	556
269	205	555
270	205	553
271	206	552
272	208	554
273	208	552
274	209	551
275	209	549
276	210	548
277	210	547
278	211	545
279	211	544
280	212	542
281	212	542
282	213	541
283	214	540
284	214	539
285	215	537
286	219	544
287	219	542
288	220	541
289	220	540
290	221	538
291	222	538
292	222	536
293	222	535
294	223	534
295	224	533
296	225	532
297	225	531
298	226	531
299	227	529
300	227	529
301	228	528
302	229	527
303	229	525
304	230	524
305	230	523
306	231	522
307	231	521
308	233	521
309	233	520
310	234	519
311	234	518
312	235	517
313	236	516
314	236	514
315	237	513
316	237	512
317	238	511
318	239	510
319	239	509
320	240	508
321	240	506
322	241	505
323	241	504
324	242	503
325	244	505
326	244	504
327	245	502
328	245	501
329	246	501
330	247	500
331	248	499
332	248	497
333	249	497
334	250	496
335	250	495
336	251	494
337	252	493
338	252	493
339	253	492
340	254	491
341	255	490
342	255	489
343	255	488
344	256	486
345	257	485
346	257	484
347	257	483
348	258	482
349	259	481
350	259	480
351	261	480
352	261	479
353	262	478
354	262	477
355	263	475
356	263	474
357	264	473
358	264	472
359	265	471
360	265	470
361	266	468
362	266	467
363	266	466
364	267	465
365	267	464
366	268	463
367	269	462
368	270	462
369	271	461
370	271	460
371	272	459
372	273	459
373	273	458
374	274	457
375	276	458
376	277	458
377	278	457
378	278	456
379	279	455
380	279	454
381	280	453
382	281	453
383	282	453
384	283	452
385	284	452
386	284	451
387	285	450
388	286	449
389	287	449
390	288	448
391	288	447
392	289	447
393	290	446
394	290	445
395	291	444
396	292	443
397	292	442
398	293	441
399	294	441
400	294	440
401	295	439
402	295	438
403	296	437
404	296	436
405	297	435
406	298	434
407	299	434
408	299	433
409	300	432
410	301	431
411	301	430
412	302	429
413	303	429
414	303	428
415	305	428
416	306	427
417	306	427
418	307	426
419	308	425
420	308	424
421	309	424
422	310	423
423	311	423
424	312	422
425	313	422
426	314	421
427	314	420
428	315	420
429	316	419
430	317	418
431	317	417
432	318	416
433	319	416
434	320	416
435	321	416
436	322	415
437	322	414
438	323	413
439	324	412
440	325	412
441	325	411
442	326	410
443	326	409
444	327	408
445	328	408
446	329	407
447	330	407
448	331	406
449	331	405
450	332	404
451	333	404
452	334	403
453	334	402
454	335	402
455	336	401
456	337	401
457	338	400
458	339	400
459	340	399
460	341	399
461	342	398
462	343	398
463	343	397
464	344	396
465	347	398
466	347	396
467	348	396
468	349	395
469	349	394
470	350	393
471	351	392
472	351	391
473	352	391
474	353	390
475	353	389
476	354	388
477	355	387
478	355	387
479	356	386
480	357	385
481	357	384
482	358	383
483	358	382
484	359	381
485	360	380
486	360	379
487	361	378
488	361	378
489	362	377
490	363	376
491	364	376
492	365	375
493	365	374
494	366	374
495	367	373
496	368	372
497	369	372
498	369	371
499	370	370
500	371	369
501	372	369
502	372	368
503	373	367
504	374	367
505	375	366
506	376	365
507	377	365
508	377	364
509	378	363
510	379	363
511	379	362
512	380	361
513	380	360
514	381	359
515	381	358
516	382	357
517	383	356
518	383	355
519	384	354
520	384	353
521	385	352
522	385	352
523	386	351
524	387	350
525	388	350
526	389	349
527	390	348
528	390	347
529	391	347
530	392	346
531	393	346
532	394	345
533	395	345
534	396	344
535	396	343
536	397	342
537	398	341
538	398	340
539	399	340
540	400	339
541	400	338
542	401	338
543	402	337
544	404	337
545	404	336
546	405	336
547	406	335
548	407	334
549	407	333
550	408	332
551	408	331
552	409	330
553	410	330
554	410	329
555	411	328
556	411	327
557	412	326
558	413	325
559	413	325
560	414	324
561	415	323
562	415	322
563	416	322
564	417	321
565	418	320
566	418	319
567	419	318
568	419	318
569	420	317
570	420	316
571	421	315
572	422	314
573	422	313
574	423	312
575	423	312
576	425	311
577	425	310
578	426	310
579	427	309
580	428	308
581	428	307
582	429	307
583	429	306
584	430	305
585	431	304
586	431	303
587	432	302
588	432	302
589	433	301
590	434	300
591	434	299
592	435	298
593	436	298
594	437	297
595	437	296
596	438	296
597	439	295
598	439	294
599	440	293
600	441	292
601	441	292
602	442	291
603	443	290
604	443	289
605	444	289
606	445	288
607	445	287
608	446	286
609	446	285
610	447	284
611	447	283
612	448	283
613	449	282
614	449	281
615	451	281
616	452	281
617	453	280
618	454	279
619	454	278
620	455	277
621	455	277
622	456	276
623	457	275
624	458	274
625	458	274
626	459	273
627	460	272
628	461	272
629	462	271
630	462	270
631	463	269
632	464	269
633	468	270
634	469	269
635	470	269
636	470	268
637	471	267
638	472	266
639	472	265
640	473	265
641	473	264
642	474	263
643	475	262
644	476	262
645	476	261
646	477	260
647	478	259
648	479	259
649	479	258
650	480	257
651	481	256
652	481	255
653	482	255
654	483	254
655	483	253
656	484	252
657	484	251
658	485	251
659	485	250
660	486	249
661	487	248
662	488	248
663	488	247
664	489	246
665	490	245
666	491	245
667	492	244
668	493	243
669	494	243
670	494	242
671	495	241
672	507	246
673	507	245
674	508	244
675	508	243
676	509	242
677	509	242
678	510	241
679	510	240
680	511	239
681	512	238
682	512	238
683	513	237
684	514	236
685	514	235
686	518	236
687	519	235
688	520	234
689	521	234
690	522	233
691	523	232
692	523	232
693	524	231
694	525	230
695	526	229
696	527	229
697	527	228
698	528	227
699	528	226
700	529	225
701	530	225
702	530	224
703	531	223
704	531	222
705	532	221
706	533	220
707	533	220
708	534	219
709	535	218
710	535	217
711	536	216
712	536	216
713	537	215
714	538	214
715	539	213
716	540	213
717	540	212
718	541	211
719	542	210
720	542	210
721	543	209
722	544	208
723	544	207
724	545	206
725	545	205
726	546	205
727	546	204
728	547	203
729	548	202
730	548	201
731	549	201
732	550	200
733	550	199
734	551	198
735	551	197
736	553	197
737	554	196
738	555	196
739	555	195
740	556	194
741	556	193
742	558	193
743	558	192
744	559	191
745	559	190
746	560	189
747	561	189
748	561	188
749	562	187
750	562	186
751	563	185
752	564	185
753	565	184
754	566	183
755	566	182
756	567	182
757	568	181
758	569	180
759	570	180
760	571	179
761	572	178
762	573	178
763	574	177
764	574	176
765	575	175
766	576	175
767	576	174
768	577	173
769	578	172
770	578	171
771	579	171
772	580	170
773	581	169
774	581	168
775	582	168
776	583	167
777	583	166
778	584	165
779	584	164
780	585	164
781	585	163
782	586	162
783	587	161
784	587	160
785	588	160
786	589	159
787	589	158
788	590	157
789	590	157
790	591	156
791	592	155
792	592	154
793	593	153
794	593	153
795	594	152
796	595	151
797	595	150
798	596	150
799	596	149
800	597	148
801	597	147
802	598	146
803	599	146
804	599	145
805	600	144
806	601	143
807	601	142
808	602	142
809	603	141
810	604	140
811	604	140
812	605	139
813	606	138
814	607	137
815	608	137
816	609	136
817	609	135
818	610	134
819	611	134
820	612	133
821	613	132
822	613	132
823	614	131
824	615	130
825	615	129
826	616	128
827	617	128
828	617	127
829	618	126
830	618	125
831	619	125
832	620	124
833	620	123
834	621	122
835	622	122
836	623	121
837	623	120
838	624	119
839	624	119
840	625	118
841	625	117
842	626	116
843	627	115
844	627	115
845	628	114
846	628	113
847	629	112
848	630	112
849	630	111
850	631	110
851	632	109
852	633	109
853	633	108
854	634	107
855	635	106
856	635	106
857	636	105
858	637	104
859	638	103
860	639	103
861	640	102
862	643	102
863	644	101
864	645	100
865	646	99
866	646	99
867	647	98
868	651	98
869	652	97
870	652	96
871	653	95
872	653	95
873	654	94
874	654	93
875	655	92
876	655	91
877	656	91
878	657	90
879	657	89
880	659	89
881	661	88
882	661	87
883	662	86
884	662	86
885	663	85
886	664	84
887	665	83
888	665	83
889	666	82
890	667	81
891	667	80
892	669	80
893	669	79
894	670	78
895	671	77
896	672	77
897	673	76
898	673	75
899	675	75
900	675	74
901	676	73
902	677	72
903	678	72
904	681	71
905	682	70
906	683	70
907	684	69
908	685	68
909	685	67
910	686	67
911	687	66
912	687	65
913	688	64
914	689	64
915	690	63
916	691	62
917	691	61
918	692	61
919	692	60
920	693	59
921	694	58
922	694	57
923	695	57
924	695	56
925	696	55
926	697	54
927	698	54
928	698	53
929	699	52
930	699	51
931	700	51
932	701	50
933	701	49
934	702	48
935	702	48
936	703	47
937	704	46
938	705	45
939	705	45
940	706	44
941	706	43
942	707	42
943	708	42
944	708	41
945	709	40
946	709	39
947	710	38
948	711	38
949	711	37
950	712	36
951	713	35
952	713	35
953	716	34
954	717	33
955	717	33
956	718	32
957	719	31
958	719	30
959	720	30
960	720	29
961	721	28
962	722	27
963	722	26
964	723	26
965	723	25
966	724	24
967	724	23
968	725	23
969	726	22
970	726	21
971	727	20
972	727	20
973	728	19
974	729	18
975	729	17
976	730	17
977	730	16
978	731	15
979	732	14
980	733	14
981	733	13
982	734	12
983	735	11
984	735	11
985	736	10
986	737	9
987	737	8
988	738	8
989	739	7
990	739	6
991	740	5
992	741	5
993	741	4
994	742	3
995	743	2
996	744	2
997	744	1
998	745	0
999	745	0
